input_domain,normalization,test_auc,test_average_precision
fourier,batchnorm,0.6447662915514015,0.09192498495216195
fourier,rms,0.6306290790427845,0.09216316626404138
image,batchnorm,0.7251783252312017,0.12400385968743897
image,rms,0.6953027220476459,0.11379873681642981
