config_id,run_name,run_id,phase,domain,domain_code,pooling,normalization,convolution,activation,stream_interaction,stream_level,interaction_level,test_auc,test_ap,test_average_precision,auc_above_real,ap_above_real,quadrant_relative_to_real
cx_img_max_rms_wl_single_none_card,cx_img_max_rms_wl_single_none_card,phase1_1184439_26,phase1,Image,0,max,rms,widely_linear,cardioid,complex_only / none,complex_only,none,0.4109660784787688,0.0404906274613687,0.0404906274613687,False,False,neither
cx_img_max_rms_wl_single_holo_modrelu,cx_img_max_rms_wl_single_holo_modrelu,phase1_1184439_27,phase1,Image,0,max,rms,widely_linear,modrelu,complex_only / holographic,complex_only,holographic,0.6519485402734133,0.09422271122912337,0.09422271122912337,False,False,neither
cx_img_max_rms_wl_single_holo_magsilu,cx_img_max_rms_wl_single_holo_magsilu,phase1_1184439_28,phase1,Image,0,max,rms,widely_linear,magnitude_silu,complex_only / holographic,complex_only,holographic,0.6651491956060483,0.0810674008528473,0.0810674008528473,False,False,neither
cx_img_max_rms_wl_single_holo_crelu,cx_img_max_rms_wl_single_holo_crelu,phase1_1184439_29,phase1,Image,0,max,rms,widely_linear,crelu,complex_only / holographic,complex_only,holographic,0.3464467005076142,0.036686893342645535,0.036686893342645535,False,False,neither
cx_img_max_rms_wl_single_holo_card,cx_img_max_rms_wl_single_holo_card,phase1_1184439_30,phase1,Image,0,max,rms,widely_linear,cardioid,complex_only / holographic,complex_only,holographic,0.44060376547686186,0.046392299137334614,0.046392299137334614,False,False,neither
cx_img_max_rms_wl_dual_none_modrelu,cx_img_max_rms_wl_dual_none_modrelu,phase1_1184439_31,phase1,Image,0,max,rms,widely_linear,modrelu,dual / none,dual,none,0.7473209249858996,0.12567224671298527,0.12567224671298527,True,True,both_above
cx_img_max_rms_wl_dual_none_magsilu,cx_img_max_rms_wl_dual_none_magsilu,phase1_1184439_32,phase1,Image,0,max,rms,widely_linear,magnitude_silu,dual / none,dual,none,0.7862648725592888,0.17273833237102962,0.17273833237102962,True,True,both_above
cx_img_max_rms_wl_dual_none_crelu,cx_img_max_rms_wl_dual_none_crelu,phase1_1184439_33,phase1,Image,0,max,rms,widely_linear,crelu,dual / none,dual,none,0.649491042892058,0.08617096923515408,0.08617096923515408,False,False,neither
cx_img_max_rms_wl_dual_none_card,cx_img_max_rms_wl_dual_none_card,phase1_1184439_34,phase1,Image,0,max,rms,widely_linear,cardioid,dual / none,dual,none,0.685306045712137,0.0817027371531198,0.0817027371531198,False,False,neither
cx_img_max_rms_wl_dual_gate_modrelu,cx_img_max_rms_wl_dual_gate_modrelu,phase1_1184439_35,phase1,Image,0,max,rms,widely_linear,modrelu,dual / modulus_gate,dual,modulus_gate,0.607055568984503,0.0752170750189719,0.0752170750189719,False,False,neither
cx_img_max_rms_wl_dual_gate_magsilu,cx_img_max_rms_wl_dual_gate_magsilu,phase1_1184439_36,phase1,Image,0,max,rms,widely_linear,magnitude_silu,dual / modulus_gate,dual,modulus_gate,0.7873123304595386,0.1730873878941261,0.1730873878941261,True,True,both_above
cx_img_max_rms_wl_dual_gate_crelu,cx_img_max_rms_wl_dual_gate_crelu,phase1_1184439_37,phase1,Image,0,max,rms,widely_linear,crelu,dual / modulus_gate,dual,modulus_gate,0.7047914484462707,0.09800295001311626,0.09800295001311626,False,False,neither
cx_img_max_rms_wl_dual_gate_card,cx_img_max_rms_wl_dual_gate_card,phase1_1184439_38,phase1,Image,0,max,rms,widely_linear,cardioid,dual / modulus_gate,dual,modulus_gate,0.7645099777079472,0.16721414124746922,0.16721414124746922,True,True,both_above
cx_img_max_rms_wl_dual_holo_modrelu,cx_img_max_rms_wl_dual_holo_modrelu,phase1_1184439_39,phase1,Image,0,max,rms,widely_linear,modrelu,dual / holographic,dual,holographic,0.7447828539199096,0.12054045516669518,0.12054045516669518,True,True,both_above
cx_img_max_rms_wl_dual_holo_magsilu,cx_img_max_rms_wl_dual_holo_magsilu,phase1_1184439_40,phase1,Image,0,max,rms,widely_linear,magnitude_silu,dual / holographic,dual,holographic,0.7720839040635994,0.14903341102325723,0.14903341102325723,True,True,both_above
cx_img_max_rms_wl_dual_holo_crelu,cx_img_max_rms_wl_dual_holo_crelu,phase1_1184439_41,phase1,Image,0,max,rms,widely_linear,crelu,dual / holographic,dual,holographic,0.7202347380012355,0.09368886632058106,0.09368886632058106,False,False,neither
cx_img_max_rms_wl_dual_holo_card,cx_img_max_rms_wl_dual_holo_card,phase1_1184439_42,phase1,Image,0,max,rms,widely_linear,cardioid,dual / holographic,dual,holographic,0.7059329089785943,0.08833060558497603,0.08833060558497603,False,False,neither
cx_img_max_cbn_std_single_none_modrelu,cx_img_max_cbn_std_single_none_modrelu,phase1_1184439_43,phase1,Image,0,max,batchnorm,standard,modrelu,complex_only / none,complex_only,none,0.6854403351865281,0.08061150249967244,0.08061150249967244,False,False,neither
cx_img_max_cbn_std_single_none_magsilu,cx_img_max_cbn_std_single_none_magsilu,phase1_1184439_44,phase1,Image,0,max,batchnorm,standard,magnitude_silu,complex_only / none,complex_only,none,0.6799076088416189,0.07704986637004832,0.07704986637004832,False,False,neither
cx_img_max_cbn_std_single_none_crelu,cx_img_max_cbn_std_single_none_crelu,phase1_1184439_45,phase1,Image,0,max,batchnorm,standard,crelu,complex_only / none,complex_only,none,0.7182338248328095,0.13188652451402594,0.13188652451402594,False,True,ap_only
cx_img_max_cbn_std_single_none_card,cx_img_max_cbn_std_single_none_card,phase1_1184439_46,phase1,Image,0,max,batchnorm,standard,cardioid,complex_only / none,complex_only,none,0.7562108881905836,0.1359550463020995,0.1359550463020995,True,True,both_above
cx_img_max_cbn_std_single_holo_modrelu,cx_img_max_cbn_std_single_holo_modrelu,phase1_1184439_47,phase1,Image,0,max,batchnorm,standard,modrelu,complex_only / holographic,complex_only,holographic,0.6963849273493944,0.1023436386493464,0.1023436386493464,False,False,neither
cx_img_max_cbn_std_single_holo_magsilu,cx_img_max_cbn_std_single_holo_magsilu,phase1_1184439_48,phase1,Image,0,max,batchnorm,standard,magnitude_silu,complex_only / holographic,complex_only,holographic,0.6581124271479601,0.11426163330309089,0.11426163330309089,False,True,ap_only
cx_img_max_cbn_std_single_holo_crelu,cx_img_max_cbn_std_single_holo_crelu,phase1_1184439_49,phase1,Image,0,max,batchnorm,standard,crelu,complex_only / holographic,complex_only,holographic,0.7086321274138534,0.10843619565931989,0.10843619565931989,False,True,ap_only
cx_img_max_cbn_std_single_holo_card,cx_img_max_cbn_std_single_holo_card,phase1_1184439_50,phase1,Image,0,max,batchnorm,standard,cardioid,complex_only / holographic,complex_only,holographic,0.7278892380415223,0.10718950395221315,0.10718950395221315,True,True,both_above
cx_img_max_cbn_std_dual_none_modrelu,cx_img_max_cbn_std_dual_none_modrelu,phase1_1184439_51,phase1,Image,0,max,batchnorm,standard,modrelu,dual / none,dual,none,0.6572529745118577,0.06992595951067106,0.06992595951067106,False,False,neither
cx_img_max_cbn_std_dual_none_magsilu,cx_img_max_cbn_std_dual_none_magsilu,phase1_1184439_52,phase1,Image,0,max,batchnorm,standard,magnitude_silu,dual / none,dual,none,0.6922488115381517,0.1462415819384503,0.1462415819384503,False,True,ap_only
cx_img_max_cbn_std_dual_none_crelu,cx_img_max_cbn_std_dual_none_crelu,phase1_1184439_53,phase1,Image,0,max,batchnorm,standard,crelu,dual / none,dual,none,0.7423656433808717,0.13334202307964418,0.13334202307964418,True,True,both_above
cx_img_max_cbn_std_dual_none_card,cx_img_max_cbn_std_dual_none_card,phase1_1184439_54,phase1,Image,0,max,batchnorm,standard,cardioid,dual / none,dual,none,0.7856471409770902,0.15018899558136262,0.15018899558136262,True,True,both_above
cx_img_max_cbn_std_dual_gate_modrelu,cx_img_max_cbn_std_dual_gate_modrelu,phase1_1184439_55,phase1,Image,0,max,batchnorm,standard,modrelu,dual / modulus_gate,dual,modulus_gate,0.7881046383584454,0.14177159198169723,0.14177159198169723,True,True,both_above
cx_img_max_cbn_std_dual_gate_magsilu,cx_img_max_cbn_std_dual_gate_magsilu,phase1_1184439_56,phase1,Image,0,max,batchnorm,standard,magnitude_silu,dual / modulus_gate,dual,modulus_gate,0.7622270566433003,0.13656260383200067,0.13656260383200067,True,True,both_above
cx_img_max_cbn_std_dual_gate_crelu,cx_img_max_cbn_std_dual_gate_crelu,phase1_1184439_57,phase1,Image,0,max,batchnorm,standard,crelu,dual / modulus_gate,dual,modulus_gate,0.6968952273520802,0.08299383320316375,0.08299383320316375,False,False,neither
cx_img_max_cbn_std_dual_gate_card,cx_img_max_cbn_std_dual_gate_card,phase1_1184439_58,phase1,Image,0,max,batchnorm,standard,cardioid,dual / modulus_gate,dual,modulus_gate,0.7484556710445035,0.14388146427383242,0.14388146427383242,True,True,both_above
cx_img_max_cbn_std_dual_holo_modrelu,cx_img_max_cbn_std_dual_holo_modrelu,phase1_1184439_59,phase1,Image,0,max,batchnorm,standard,modrelu,dual / holographic,dual,holographic,0.7051674589745656,0.1653736015627213,0.1653736015627213,False,True,ap_only
cx_img_max_cbn_std_dual_holo_magsilu,cx_img_max_cbn_std_dual_holo_magsilu,phase1_1184439_60,phase1,Image,0,max,batchnorm,standard,magnitude_silu,dual / holographic,dual,holographic,0.7920258910106626,0.14911435285758748,0.14911435285758748,True,True,both_above
cx_img_max_cbn_std_dual_holo_crelu,cx_img_max_cbn_std_dual_holo_crelu,phase1_1184439_61,phase1,Image,0,max,batchnorm,standard,crelu,dual / holographic,dual,holographic,0.7569091934574168,0.16261848349697647,0.16261848349697647,True,True,both_above
cx_img_max_cbn_std_dual_holo_card,cx_img_max_cbn_std_dual_holo_card,phase1_1184439_62,phase1,Image,0,max,batchnorm,standard,cardioid,dual / holographic,dual,holographic,0.7245051432868691,0.09698766592576803,0.09698766592576803,False,False,neither
cx_img_max_cbn_wl_single_none_modrelu,cx_img_max_cbn_wl_single_none_modrelu,phase1_1184439_63,phase1,Image,0,max,batchnorm,widely_linear,modrelu,complex_only / none,complex_only,none,0.7820481830634115,0.18720944765640626,0.18720944765640626,True,True,both_above
cx_img_max_cbn_wl_single_none_magsilu,cx_img_max_cbn_wl_single_none_magsilu,phase1_1184439_64,phase1,Image,0,max,batchnorm,widely_linear,magnitude_silu,complex_only / none,complex_only,none,0.6429242875943383,0.07713917307624124,0.07713917307624124,False,False,neither
cx_img_max_cbn_wl_single_none_crelu,cx_img_max_cbn_wl_single_none_crelu,phase1_1184439_65,phase1,Image,0,max,batchnorm,widely_linear,crelu,complex_only / none,complex_only,none,0.7338248328096044,0.11720361613202786,0.11720361613202786,True,True,both_above
cx_img_max_cbn_wl_single_none_card,cx_img_max_cbn_wl_single_none_card,phase1_1184439_66,phase1,Image,0,max,batchnorm,widely_linear,cardioid,complex_only / none,complex_only,none,0.7205033169500175,0.13148257820737416,0.13148257820737416,False,True,ap_only
cx_img_max_cbn_wl_single_holo_modrelu,cx_img_max_cbn_wl_single_holo_modrelu,phase1_1184439_67,phase1,Image,0,max,batchnorm,widely_linear,modrelu,complex_only / holographic,complex_only,holographic,0.6823651062229742,0.10763552668411638,0.10763552668411638,False,True,ap_only
cx_img_max_cbn_wl_single_holo_magsilu,cx_img_max_cbn_wl_single_holo_magsilu,phase1_1184439_68,phase1,Image,0,max,batchnorm,widely_linear,magnitude_silu,complex_only / holographic,complex_only,holographic,0.6399027744205409,0.1910281355015522,0.1910281355015522,False,True,ap_only
cx_img_max_cbn_wl_single_holo_crelu,cx_img_max_cbn_wl_single_holo_crelu,phase1_1184439_69,phase1,Image,0,max,batchnorm,widely_linear,crelu,complex_only / holographic,complex_only,holographic,0.6933096983858404,0.08558076973372925,0.08558076973372925,False,False,neither
cx_img_max_cbn_wl_single_holo_card,cx_img_max_cbn_wl_single_holo_card,phase1_1184439_70,phase1,Image,0,max,batchnorm,widely_linear,cardioid,complex_only / holographic,complex_only,holographic,0.6945183036553595,0.15740451326079055,0.15740451326079055,False,True,ap_only
cx_img_max_cbn_wl_dual_none_modrelu,cx_img_max_cbn_wl_dual_none_modrelu,phase1_1184439_71,phase1,Image,0,max,batchnorm,widely_linear,modrelu,dual / none,dual,none,0.7452125802379609,0.14038331667825749,0.14038331667825749,True,True,both_above
cx_img_max_cbn_wl_dual_none_magsilu,cx_img_max_cbn_wl_dual_none_magsilu,phase1_1184439_72,phase1,Image,0,max,batchnorm,widely_linear,magnitude_silu,dual / none,dual,none,0.7623882040125695,0.16933223273520404,0.16933223273520404,True,True,both_above
cx_img_max_cbn_wl_dual_none_crelu,cx_img_max_cbn_wl_dual_none_crelu,phase1_1184439_73,phase1,Image,0,max,batchnorm,widely_linear,crelu,dual / none,dual,none,0.7747831224988585,0.11999339567278558,0.11999339567278558,True,True,both_above
cx_img_max_cbn_wl_dual_none_card,cx_img_max_cbn_wl_dual_none_card,phase1_1184439_74,phase1,Image,0,max,batchnorm,widely_linear,cardioid,dual / none,dual,none,0.7801681304219374,0.1462597431867826,0.1462597431867826,True,True,both_above
cx_img_max_cbn_wl_dual_gate_modrelu,cx_img_max_cbn_wl_dual_gate_modrelu,phase1_1184439_75,phase1,Image,0,max,batchnorm,widely_linear,modrelu,dual / modulus_gate,dual,modulus_gate,0.7622942013804958,0.13795029775559803,0.13795029775559803,True,True,both_above
cx_img_max_cbn_wl_dual_gate_magsilu,cx_img_max_cbn_wl_dual_gate_magsilu,phase1_1184439_76,phase1,Image,0,max,batchnorm,widely_linear,magnitude_silu,dual / modulus_gate,dual,modulus_gate,0.7580775118846184,0.10609166183394672,0.10609166183394672,True,False,auc_only
cx_img_max_cbn_wl_dual_gate_crelu,cx_img_max_cbn_wl_dual_gate_crelu,phase1_1184439_77,phase1,Image,0,max,batchnorm,widely_linear,crelu,dual / modulus_gate,dual,modulus_gate,0.7531222302795907,0.16583319887279258,0.16583319887279258,True,True,both_above
cx_img_max_cbn_wl_dual_gate_card,cx_img_max_cbn_wl_dual_gate_card,phase1_1184439_78,phase1,Image,0,max,batchnorm,widely_linear,cardioid,dual / modulus_gate,dual,modulus_gate,0.7236054038084494,0.1474553988935416,0.1474553988935416,False,True,ap_only
cx_img_max_cbn_wl_dual_holo_modrelu,cx_img_max_cbn_wl_dual_holo_modrelu,phase1_1184439_79,phase1,Image,0,max,batchnorm,widely_linear,modrelu,dual / holographic,dual,holographic,0.702790535277845,0.08668939604773328,0.08668939604773328,False,False,neither
cx_img_max_cbn_wl_dual_holo_magsilu,cx_img_max_cbn_wl_dual_holo_magsilu,phase1_1184439_80,phase1,Image,0,max,batchnorm,widely_linear,magnitude_silu,dual / holographic,dual,holographic,0.7565063250342438,0.16034456976884506,0.16034456976884506,True,True,both_above
cx_img_max_cbn_wl_dual_holo_crelu,cx_img_max_cbn_wl_dual_holo_crelu,phase1_1184439_81,phase1,Image,0,max,batchnorm,widely_linear,crelu,dual / holographic,dual,holographic,0.7499127118416459,0.1187485525681776,0.1187485525681776,True,True,both_above
cx_img_max_cbn_wl_dual_holo_card,cx_img_max_cbn_wl_dual_holo_card,phase1_1184439_82,phase1,Image,0,max,batchnorm,widely_linear,cardioid,dual / holographic,dual,holographic,0.6984664142024548,0.10213086344840125,0.10213086344840125,False,False,neither
cx_img_med_rms_std_single_none_magsilu,cx_img_med_rms_std_single_none_magsilu,phase1_1184439_83,phase1,Image,0,median,rms,standard,magnitude_silu,complex_only / none,complex_only,none,0.6539360244944001,0.07147764659007558,0.07147764659007558,False,False,neither
cx_img_med_rms_std_single_none_crelu,cx_img_med_rms_std_single_none_crelu,phase1_1184439_84,phase1,Image,0,median,rms,standard,crelu,complex_only / none,complex_only,none,0.7637713855987966,0.15850680426607744,0.15850680426607744,True,True,both_above
cx_img_med_rms_std_single_none_card,cx_img_med_rms_std_single_none_card,phase1_1184439_85,phase1,Image,0,median,rms,standard,cardioid,complex_only / none,complex_only,none,0.6874815351972712,0.09567526940573637,0.09567526940573637,False,False,neither
