group,n,both_above_n,both_above_pct,auc_only_n,auc_only_pct,ap_only_n,ap_only_pct,neither_n,neither_pct,pearson_auc_ap,spearman_auc_ap
Image,240,101,42.083333333333336,15,6.25,44,18.333333333333332,80,33.333333333333336,0.7120673246302708,0.7559141651764788
Fourier,240,13,5.416666666666667,1,0.4166666666666667,43,17.916666666666668,183,76.25,0.6628787170282502,0.6803927500446613
All complex,480,114,23.75,16,3.3333333333333335,87,18.125,263,54.791666666666664,0.7547621046261745,0.7883744169116225
